id,genus,species,COLL,Site,elev,Sex,mass,wing.length,wing.area,AR,lifted.beads,maneuv.id
Phaethornis.hispidus_A32401,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,399.9999997,Female,5.750000004,5.777999874,19.98790483,6.681096983,7.480000021,NA
Phaethornis.hispidus_A32431,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,399.9999997,Female,4.599999908,5.690000152,19.98619747,6.479692164,7.480000001,NA
Phaethornis.hispidus_A32452,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,399.9999997,Female,4.400000096,5.416999818,17.21218396,6.819329164,8.800000201,NA
Phaethornis.hispidus_A32453,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,399.9999997,Male,5.650000093,6.193000028,22.86615052,6.70917466,13.2449999,NA
Phaethornis.hispidus_A32456,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,399.9999997,Male,5.449999808,6.374999998,24.19836817,6.717911666,13.24499987,NA
Phaethornis.hispidus_A32471,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,399.9999997,Female,5.400000089,5.849999999,20.79497612,6.582839978,11.4790001,NA
Phaethornis.hispidus_A32473,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,400,Male,5.1,6.413,25.15329,6.54,15.01,NA
Phaethornis.hispidus_A32645,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,499.9999996,Male,5.51000023,6.601999666,25.32935577,6.883143804,9.44999982,NA
Phaethornis.hispidus_A32647,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,499.9999996,Female,5.650000093,5.64700012,20.37556818,6.260166123,8.069999705,NA
Phaethornis.hispidus_A32657,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,500,Male,5.21,6.451,25.50529,6.527,7.61,NA
Phaethornis.hispidus_A32660,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,499.9999996,Male,5.230000014,6.826999656,27.48420125,6.783231421,9.449999832,NA
Phaethornis.hispidus_A32689,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,499.9999996,Female,5.349999901,6.1869999,23.95372233,6.392153522,7.610000143,NA
Phaethornis.hispidus_A32849,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,500,Male,5.55,6.041,19.0765,7.652,11.73,NA
Phaethornis.hispidus_A32877,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,500,Male,6.31,6.474,24.12603,6.949,8.99,NA
Phaethornis.hispidus_E00001,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,400,Unknown,5.05,NA,NA,NA,6.41,NA
Phaethornis.hispidus_E00010,Phaethornis,Phaethornis.hispidus,DLA,Amazonia,499.9999996,Male,4.90000009,6.109000012,21.3086288,7.005590375,10.30000019,NA
Phaethornis.hispidus_E00087,Phaethornis,Phaethornis.hispidus,DLA,Pantiacolla,399.9999997,Female,5.499999994,6.830999759,26.53890422,7.033079782,10.59599973,NA
Phaethornis.longirostris_A32996,Phaethornis,Phaethornis.longirostris,DLA,La Selva,39.99999997,Unknown,6.684000012,6.171799998,22.18852275,6.866814096,5.725850013,NA
Phaethornis.longirostris_A33011,Phaethornis,Phaethornis.longirostris,DLA,La Selva,39.99999997,Unknown,6.372000218,6.072000127,20.05586594,7.353297161,11.29499998,NA
