birdID,treatmentID,bird.treatment.block,walls.stripe.size,left.grating.orientation,H.grating.period,V.grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,top.black.red
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,1,from,0.101017499,2.595747123,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,1,to,0.057228976,2.368026158,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,3,to,0.057388331,2.32782904,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,4,to,0.067037365,2.17602124,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,2,from,0.138208785,2.294221593,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,2,to,0.091207803,2.221903856,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,4,from,0.08744601,2.008127513,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,5,from,0.092475102,2.388499166,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,3,from,0.084256897,2.501740314,NA
196,1_9.2_0_1.15_0_0,196_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,5,to,0.117319057,1.776546295,NA
196,1_9.2_0_9.2_0_0,196_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,2,to,0.042102839,2.464448188,black
196,1_9.2_0_9.2_0_0,196_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,5,to,0.043074404,2.100832878,black
196,1_9.2_0_9.2_0_0,196_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,2,from,0.103239506,1.867486129,black
196,1_9.2_0_9.2_0_0,196_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,1,from,0.101242345,1.988866565,black
196,1_9.2_0_9.2_0_0,196_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,4,to,-0.004128331,2.021392284,black
196,1_9.2_0_9.2_0_0,196_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,1,to,0.057405244,2.123210872,black
